day,infected
0,10.0078
1,11.5769
2,15.5382
3,18.3986
4,20.1617
5,30.0304
6,32.0478
7,40.1284
8,50.1032
9,60.1250
10,69.6504
11,94.5973
12,103.8704
13,121.4239
14,167.1655
15,191.7936
16,230.3622
17,289.7518
18,363.8960
19,461.5030
20,579.0065
21,641.8368
22,829.6750
23,973.7139
24,1203.8497
25,1550.7399
26,1766.6404
27,1947.5390
28,2584.0620
29,3220.9824
30,3983.5629
31,4738.8764
32,6158.8797
33,7274.0787
34,8895.8933
35,10843.4158
36,13471.6492
37,17967.2394
38,19013.1328
39,24001.4266
40,27277.1152
41,34233.3691
42,37037.5719
43,51583.6622
44,58828.9893
45,66228.6808
46,81271.0982
47,94639.7260
48,111596.4385
49,120208.7186
50,139138.3552
51,160128.5225
52,192080.9223
53,202518.3945
54,244457.9047
55,242128.6253
56,253909.5014
57,264731.3522
58,277957.7358
59,269539.6527
60,283355.3604
61,270031.8406
62,320573.6827
63,280881.8836
64,308233.9253
65,285310.7848
66,279281.5643
67,276075.1125
68,253779.5617
69,251929.2149
70,226072.5149
71,237666.2701
72,216458.2963
73,193269.4117
74,173239.0301
75,168803.9943
76,164027.9831
77,158601.3028
78,138329.3820
79,138198.9935
80,125251.7327
81,111930.4581
82,100337.9670
83,97538.6903
84,96522.4097
85,90258.8821
86,84693.9650
87,82574.3914
88,70429.9779
89,63320.8983
90,59637.2991
91,55873.4760
92,49235.4004
93,46551.8182
94,48810.7516
95,38262.0861
96,36021.6897
97,36492.7265
98,30137.4988
99,25950.9861
100,27630.3913
