objective,dim,evaluator,n_seeds,mean_total_time,std_total_time,mean_eval_time,mean_update_time,mean_overhead,pct_eval,pct_update,mean_best_value,speedup
sphere,2,sequential,5,0.0368,0.0121,0.0302,0.003,0.0037,81.9,8.1,8.611026214474426e-15,1.0
sphere,2,threading,5,0.2517,0.0285,0.2362,0.0063,0.0092,93.9,2.5,8.611026214474426e-15,0.146
sphere,2,multiprocessing,5,0.397,0.0417,0.3792,0.0066,0.0112,95.5,1.7,8.611026214474426e-15,0.093
sphere,2,async,5,0.0851,0.0157,0.0775,0.004,0.0036,91.0,4.7,8.611026214474426e-15,0.433
sphere,2,vectorized,5,0.005,0.0016,0.0007,0.0024,0.0018,14.9,48.8,8.611026214474426e-15,7.385
sphere,10,sequential,5,0.0806,0.0252,0.0665,0.0079,0.0062,82.5,9.7,2.164526275387917e-13,1.0
sphere,10,threading,5,0.4801,0.056,0.4478,0.0132,0.0192,93.3,2.7,2.164526275387917e-13,0.168
sphere,10,multiprocessing,5,0.7242,0.1245,0.6892,0.0134,0.0216,95.2,1.8,2.164526275387917e-13,0.111
sphere,10,async,5,0.1592,0.0188,0.1425,0.0087,0.008,89.5,5.5,2.164526275387917e-13,0.506
sphere,10,vectorized,5,0.0105,0.0014,0.0014,0.0051,0.004,13.2,48.4,2.164526275387917e-13,7.648
sphere,30,sequential,5,0.1423,0.0139,0.1095,0.0183,0.0145,76.9,12.9,1.7135746140161184e-10,1.0
sphere,30,threading,5,0.8926,0.0685,0.8249,0.0322,0.0355,92.4,3.6,1.7135746140161184e-10,0.159
sphere,30,multiprocessing,5,1.4571,0.2985,1.3824,0.0346,0.0402,94.9,2.4,1.7135746140161184e-10,0.098
sphere,30,async,5,0.3458,0.0397,0.301,0.0245,0.0203,87.0,7.1,1.7135746140161184e-10,0.411
sphere,30,vectorized,5,0.0346,0.0104,0.0037,0.0173,0.0136,10.7,49.9,1.7135746140161184e-10,4.116
rosenbrock,2,sequential,5,0.1149,0.0199,0.1054,0.0054,0.0041,91.7,4.7,1.2969324171330164e-12,1.0
rosenbrock,2,threading,5,0.4588,0.0657,0.4315,0.0101,0.0172,94.0,2.2,1.2969324171330164e-12,0.25
rosenbrock,2,multiprocessing,5,0.589,0.0412,0.5642,0.0094,0.0154,95.8,1.6,1.2969324171330164e-12,0.195
rosenbrock,2,async,5,0.1981,0.0245,0.1844,0.0065,0.0073,93.1,3.3,1.2969324171330164e-12,0.58
rosenbrock,2,vectorized,5,0.0083,0.0035,0.0017,0.0037,0.0028,21.1,44.8,1.2969324171330164e-12,13.881
rosenbrock,10,sequential,5,0.2762,0.0328,0.2505,0.0139,0.0119,90.7,5.0,2.0430935208692897,1.0
rosenbrock,10,threading,5,1.0642,0.0846,1.0047,0.0271,0.0324,94.4,2.6,2.0430935208692897,0.26
rosenbrock,10,multiprocessing,5,1.4753,0.2555,1.4108,0.0296,0.0349,95.6,2.0,2.0430935208692897,0.187
rosenbrock,10,async,5,0.4931,0.0732,0.4577,0.0189,0.0165,92.8,3.8,2.0430935208692897,0.56
rosenbrock,10,vectorized,5,0.0242,0.0055,0.0063,0.0105,0.0075,25.9,43.3,2.0430935208692897,11.404
rosenbrock,30,sequential,5,0.2675,0.0351,0.2359,0.0173,0.0143,88.2,6.5,33.903898696054284,1.0
rosenbrock,30,threading,5,1.1105,0.1171,1.0342,0.0364,0.0399,93.1,3.3,33.903898696054284,0.241
rosenbrock,30,multiprocessing,5,1.5361,0.1625,1.4614,0.0353,0.0394,95.1,2.3,33.903898696054284,0.174
rosenbrock,30,async,5,0.4598,0.0439,0.42,0.0214,0.0184,91.4,4.7,33.903898696054284,0.582
rosenbrock,30,vectorized,5,0.0374,0.0068,0.0091,0.016,0.0122,24.3,42.9,33.903898696054284,7.159
rastrigin,2,sequential,5,0.0694,0.013,0.0631,0.0034,0.0029,90.9,4.9,2.5579538487363607e-14,1.0
rastrigin,2,threading,5,0.3174,0.0388,0.3004,0.007,0.01,94.7,2.2,2.5579538487363607e-14,0.219
rastrigin,2,multiprocessing,5,0.4471,0.0254,0.4284,0.0069,0.0119,95.8,1.5,2.5579538487363607e-14,0.155
rastrigin,2,async,5,0.1417,0.0273,0.1311,0.0052,0.0054,92.6,3.7,2.5579538487363607e-14,0.49
rastrigin,2,vectorized,5,0.0081,0.0037,0.0021,0.0035,0.0026,25.7,42.6,2.5579538487363607e-14,8.555
rastrigin,10,sequential,5,0.2108,0.0698,0.1881,0.0126,0.0101,89.2,6.0,3.979836228373668,1.0
rastrigin,10,threading,5,0.7871,0.1638,0.7416,0.0214,0.0241,94.2,2.7,3.979836228373668,0.268
rastrigin,10,multiprocessing,5,1.1003,0.2024,1.052,0.0204,0.0279,95.6,1.9,3.979836228373668,0.192
rastrigin,10,async,5,0.3462,0.0758,0.3185,0.0155,0.0123,92.0,4.5,3.979836228373668,0.609
rastrigin,10,vectorized,5,0.0187,0.0025,0.0064,0.0071,0.0052,34.3,37.8,3.979836228373668,11.265
rastrigin,30,sequential,5,0.2977,0.0309,0.2566,0.023,0.0181,86.2,7.7,79.99446434101279,1.0
rastrigin,30,threading,5,1.0261,0.0892,0.9579,0.0342,0.034,93.4,3.3,79.99446434101279,0.29
rastrigin,30,multiprocessing,5,1.5747,0.1624,1.4984,0.0352,0.0411,95.2,2.2,79.99446434101279,0.189
rastrigin,30,async,5,0.4738,0.0626,0.428,0.0245,0.0212,90.3,5.2,79.99446434101279,0.628
rastrigin,30,vectorized,5,0.0523,0.0091,0.0217,0.0171,0.0135,41.5,32.7,79.99446434101279,5.698
ackley,2,sequential,5,0.1682,0.0209,0.1545,0.0066,0.0071,91.8,3.9,1.6219026122143986e-12,1.0
ackley,2,threading,5,0.5021,0.0479,0.4783,0.0102,0.0136,95.3,2.0,1.6219026122143986e-12,0.335
ackley,2,multiprocessing,5,0.7448,0.0864,0.7156,0.0118,0.0175,96.1,1.6,1.6219026122143986e-12,0.226
ackley,2,async,5,0.2598,0.0166,0.2436,0.0084,0.0078,93.8,3.2,1.6219026122143986e-12,0.648
ackley,2,vectorized,5,0.0111,0.0026,0.004,0.0042,0.0029,36.4,37.6,1.6219026122143986e-12,15.211
ackley,10,sequential,5,0.2602,0.0236,0.2386,0.012,0.0096,91.7,4.6,1.4118217706027281e-11,1.0
ackley,10,threading,5,0.8047,0.0888,0.7611,0.0202,0.0234,94.6,2.5,1.4118217706027281e-11,0.323
ackley,10,multiprocessing,5,1.1377,0.0811,1.093,0.0193,0.0254,96.1,1.7,1.4118217706027281e-11,0.229
ackley,10,async,5,0.3969,0.0284,0.3702,0.0143,0.0124,93.3,3.6,1.4118217706027281e-11,0.656
ackley,10,vectorized,5,0.0276,0.0049,0.0109,0.0092,0.0075,39.4,33.5,1.4118217706027281e-11,9.436
ackley,30,sequential,5,0.3478,0.0264,0.3101,0.021,0.0167,89.2,6.0,0.6336967629427979,1.0
ackley,30,threading,5,1.028,0.0628,0.9628,0.0307,0.0345,93.7,3.0,0.6336967629427979,0.338
ackley,30,multiprocessing,5,1.5533,0.305,1.4827,0.033,0.0375,95.5,2.1,0.6336967629427979,0.224
ackley,30,async,5,0.5266,0.05,0.4834,0.0232,0.0201,91.8,4.4,0.6336967629427979,0.66
ackley,30,vectorized,5,0.0518,0.0094,0.0234,0.0158,0.0126,45.1,30.5,0.6336967629427979,6.717
