evaluator,n_particles,max_iter,w,c1,c2,seed,best_value,total_time,eval_time,update_time,overhead,auc,convergence_iter
sequential,100,500,0.4,1.0,1.0,42,2.413179103819254e-30,0.028192,0.023157,0.002753,0.002282,23.916109,32
sequential,100,500,0.4,1.0,1.0,99,2.4942592066306652e-30,0.031519,0.02548,0.003433,0.002606,105.635345,31
sequential,100,500,0.4,1.0,1.0,123,1.870556367564686e-29,0.021995,0.018633,0.001853,0.001509,16.155143,30
sequential,100,500,0.4,1.0,1.0,456,1.7607931355949502e-30,0.02709,0.022776,0.002442,0.001871,15.927537,32
sequential,100,500,0.4,1.0,1.0,789,2.371125408282578e-29,0.022366,0.019431,0.001688,0.001247,14.08937,31
sequential,100,500,0.4,1.0,1.49445,42,1.5217782536035713e-25,0.038468,0.033328,0.003313,0.001826,11.572601,27
sequential,100,500,0.4,1.0,1.49445,99,3.3912184130467025e-28,0.024319,0.021181,0.001629,0.001508,123.403859,34
sequential,100,500,0.4,1.0,1.49445,123,7.288318991382134e-28,0.031535,0.025593,0.003581,0.002361,23.185572,35
sequential,100,500,0.4,1.0,1.49445,456,4.062702924501792e-27,0.024895,0.020782,0.002457,0.001657,9.771218,32
sequential,100,500,0.4,1.0,1.49445,789,4.6169153629710385e-27,0.028332,0.022486,0.002878,0.002968,23.057988,34
sequential,100,500,0.4,1.0,2.0,42,1.6563191027036405e-25,0.026142,0.021572,0.002648,0.001923,26.738921,37
sequential,100,500,0.4,1.0,2.0,99,1.1802422773836524e-25,0.033291,0.028329,0.002658,0.002305,103.149405,35
sequential,100,500,0.4,1.0,2.0,123,4.054208911291853e-23,0.019524,0.016746,0.001476,0.001303,24.625352,28
sequential,100,500,0.4,1.0,2.0,456,3.0663838719120956e-25,0.026111,0.021373,0.00238,0.002357,13.509147,38
sequential,100,500,0.4,1.0,2.0,789,5.7423014407622756e-24,0.021462,0.018735,0.001501,0.001226,33.54866,28
sequential,100,500,0.4,1.49445,1.0,42,2.2071934585828423e-28,0.023696,0.02044,0.001728,0.001528,23.958627,35
sequential,100,500,0.4,1.49445,1.0,99,7.430647278233887e-29,0.020276,0.01686,0.001748,0.001668,105.405171,32
sequential,100,500,0.4,1.49445,1.0,123,1.4562737365977056e-27,0.023356,0.019753,0.002105,0.001497,17.96187,31
sequential,100,500,0.4,1.49445,1.0,456,8.967944533424324e-29,0.019989,0.017076,0.001691,0.001223,17.473271,34
sequential,100,500,0.4,1.49445,1.0,789,1.3003929982700308e-28,0.025106,0.021108,0.001912,0.002086,14.40256,31
sequential,100,500,0.4,1.49445,1.49445,42,3.482982959590763e-27,0.031973,0.026827,0.002803,0.002343,15.009478,37
sequential,100,500,0.4,1.49445,1.49445,99,6.244484046269816e-26,0.038632,0.032638,0.002746,0.003248,122.739598,38
sequential,100,500,0.4,1.49445,1.49445,123,3.7197696713345964e-26,0.027777,0.023988,0.002018,0.001771,20.238167,34
sequential,100,500,0.4,1.49445,1.49445,456,1.413052158025595e-26,0.036747,0.030885,0.002773,0.003088,11.837351,38
sequential,100,500,0.4,1.49445,1.49445,789,9.030883039364773e-28,0.031864,0.027061,0.002676,0.002127,22.128017,38
sequential,100,500,0.4,1.49445,2.0,42,6.777385540854901e-24,0.032104,0.027819,0.002108,0.002176,26.858471,40
sequential,100,500,0.4,1.49445,2.0,99,6.689182828891313e-24,0.031749,0.026459,0.003285,0.002006,102.902032,40
sequential,100,500,0.4,1.49445,2.0,123,8.805068686786002e-23,0.018645,0.016111,0.001338,0.001195,26.767467,37
sequential,100,500,0.4,1.49445,2.0,456,1.8020574288010719e-22,0.022037,0.018465,0.001893,0.001679,17.625686,36
sequential,100,500,0.4,1.49445,2.0,789,9.805050567226419e-24,0.022562,0.019177,0.001837,0.001549,35.806898,37
sequential,100,500,0.4,2.0,1.0,42,1.4452961641536388e-26,0.019367,0.016536,0.001364,0.001467,23.798925,33
sequential,100,500,0.4,2.0,1.0,99,4.310677310609964e-28,0.026509,0.02252,0.002204,0.001785,105.555825,35
sequential,100,500,0.4,2.0,1.0,123,7.46968152544934e-27,0.01711,0.014853,0.001234,0.001023,17.56746,33
sequential,100,500,0.4,2.0,1.0,456,6.001776521907055e-26,0.032201,0.028902,0.001695,0.001603,17.868156,35
sequential,100,500,0.4,2.0,1.0,789,6.314866585467924e-27,0.020036,0.017403,0.001399,0.001235,15.379079,38
sequential,100,500,0.4,2.0,1.49445,42,2.7676592922205322e-24,0.031028,0.025286,0.00217,0.003572,15.336056,36
sequential,100,500,0.4,2.0,1.49445,99,1.42332133190544e-23,0.017374,0.015024,0.001351,0.000998,123.284247,38
sequential,100,500,0.4,2.0,1.49445,123,2.315803482848885e-25,0.035552,0.018795,0.002003,0.014755,22.571241,39
sequential,100,500,0.4,2.0,1.49445,456,1.4660298668471084e-23,0.031362,0.026697,0.001946,0.00272,9.478558,37
sequential,100,500,0.4,2.0,1.49445,789,8.660774607082015e-25,0.037891,0.028363,0.006975,0.002553,23.10274,42
sequential,100,500,0.4,2.0,2.0,42,6.731354744861091e-20,0.037142,0.030737,0.003475,0.00293,24.370278,43
sequential,100,500,0.4,2.0,2.0,99,7.335181830505226e-24,0.045464,0.038877,0.00398,0.002606,103.186935,54
sequential,100,500,0.4,2.0,2.0,123,3.560010754970009e-21,0.031409,0.026941,0.002558,0.001911,28.730783,47
sequential,100,500,0.4,2.0,2.0,456,1.6138506289360491e-21,0.033257,0.027725,0.002822,0.002711,15.693939,47
sequential,100,500,0.4,2.0,2.0,789,4.294066178812571e-22,0.02403,0.020348,0.002142,0.001541,32.146386,46
sequential,100,500,0.719,1.0,1.0,42,1.5538212767907296e-16,0.034927,0.028916,0.003231,0.002781,44.895519,8
sequential,100,500,0.719,1.0,1.0,99,6.25079751011529e-17,0.031334,0.026633,0.002706,0.001994,115.946887,76
sequential,100,500,0.719,1.0,1.0,123,3.4979166903340253e-16,0.031257,0.026636,0.002673,0.001947,28.891578,64
sequential,100,500,0.719,1.0,1.0,456,1.439465420474034e-19,0.033104,0.028078,0.002795,0.002231,29.42282,47
sequential,100,500,0.719,1.0,1.0,789,1.360501724820897e-16,0.029813,0.024467,0.002242,0.003104,16.812595,20
sequential,100,500,0.719,1.0,1.49445,42,4.823276440933957e-16,0.032371,0.028173,0.002369,0.001829,24.34865,64
sequential,100,500,0.719,1.0,1.49445,99,6.031803168977585e-17,0.035056,0.030573,0.002495,0.001989,111.501905,23
sequential,100,500,0.719,1.0,1.49445,123,1.4816729923174056e-15,0.030404,0.025615,0.002727,0.002062,30.403803,62
sequential,100,500,0.719,1.0,1.49445,456,8.857381736706988e-19,0.032655,0.027531,0.002887,0.002237,17.631129,63
sequential,100,500,0.719,1.0,1.49445,789,6.197608410964605e-16,0.040588,0.034634,0.003102,0.002853,19.534061,66
sequential,100,500,0.719,1.0,2.0,42,1.945462559336467e-15,0.035089,0.0298,0.002814,0.002475,49.279657,36
sequential,100,500,0.719,1.0,2.0,99,2.4420837497634904e-16,0.047015,0.039979,0.003916,0.003121,122.938301,5
sequential,100,500,0.719,1.0,2.0,123,2.7794162266630286e-16,0.04098,0.034973,0.003195,0.002812,51.778813,66
sequential,100,500,0.719,1.0,2.0,456,3.3221128724802285e-15,0.038534,0.032378,0.00391,0.002246,9.777755,7
