objective,dim,n_seeds,ours_mean,ours_median,pyswarms_mean,pyswarms_median,winner
sphere,2,3,1.3764510706938395e-14,3.2848357741508787e-15,3.4453904783705894e-48,2.982254128616676e-49,pyswarms
sphere,10,3,1.986431041181444e-13,2.0271312414046724e-13,1.3963401776120447e-27,1.8417754133331655e-27,pyswarms
sphere,30,3,2.2624885166430305e-10,6.104787956893912e-11,5.145132999564529e-10,6.987726905216977e-10,ours
rosenbrock,2,3,1.8915023378524374e-12,9.842816616174303e-13,3.407060997701108e-23,2.9003654964846396e-24,pyswarms
rosenbrock,10,3,1.4944857526118136,1.5519711660647135,1.4452973754847724,1.199040920486356,pyswarms
rosenbrock,30,3,23.649076135582476,24.169088578147225,6.6361536136256545,1.3409386868199213,pyswarms
rastrigin,2,3,0.0,0.0,0.0,0.0,pyswarms
rastrigin,10,3,4.974795285467191,4.974795285468133,0.9949590570933301,0.9949590570933964,pyswarms
rastrigin,30,3,81.25463463652999,84.57116851671108,21.297237174251848,24.901163413076517,pyswarms
ackley,2,3,2.3890519192567203e-12,2.1107560144173476e-12,4.440892098500626e-16,4.440892098500626e-16,pyswarms
ackley,10,3,1.467433582054885e-11,1.6470824704128972e-11,1.9391895496786067e-14,1.4654943925052066e-14,pyswarms
ackley,30,3,0.671110398727487,1.2608544452508141e-05,0.8110551625393877,0.9313049509577458,ours
