iteration,gbest_value
0,9.596403092320209
1,1.1610812084326838
2,1.1610812084326838
3,1.1610812084326838
4,1.1610812084326838
5,1.1610812084326838
6,1.1610812084326838
7,1.1610812084326838
8,1.1610812084326838
9,1.1610812084326838
10,1.1610812084326838
11,1.1610812084326838
12,1.1610812084326838
13,1.1610812084326838
14,1.1610812084326838
15,1.0237591241035986
16,1.0237591241035986
17,1.0012791780065555
18,1.0012791780065555
19,1.0012791780065555
20,1.0012791780065555
21,1.0012791780065555
22,1.0012791780065555
23,1.0012791780065555
24,1.0012791780065555
25,1.0012791780065555
26,1.0012791780065555
27,0.28808248026068384
28,0.28808248026068384
29,0.28808248026068384
30,0.123879221370089
31,0.123879221370089
32,0.123879221370089
33,0.123879221370089
34,0.123879221370089
35,0.09028763122532624
36,0.09028763122532624
37,0.09028763122532624
38,0.09028763122532624
39,0.09028763122532624
40,0.0671231191655437
41,0.0671231191655437
42,0.0671231191655437
43,0.017290388037331184
44,0.017290388037331184
45,0.01000517107684118
46,0.01000517107684118
47,0.01000517107684118
48,0.01000517107684118
49,0.00022574067781278018
50,0.00022574067781278018
51,0.00022574067781278018
52,0.00022574067781278018
53,0.00022574067781278018
54,0.00022574067781278018
55,0.0002005594399498989
56,0.0002005594399498989
57,0.0002005594399498989
58,8.203585813149061e-05
59,8.203585813149061e-05
60,8.203585813149061e-05
61,2.2847371184298026e-05
62,2.2847371184298026e-05
63,2.2847371184298026e-05
64,2.2847371184298026e-05
65,2.2847371184298026e-05
66,2.2847371184298026e-05
67,2.0052803826331456e-05
68,2.0052803826331456e-05
69,2.0052803826331456e-05
70,2.6814483931048017e-06
71,2.6814483931048017e-06
72,2.6814483931048017e-06
73,1.8587811609904747e-06
74,1.8587811609904747e-06
75,1.8587811609904747e-06
76,1.8587811609904747e-06
77,1.5453663593234523e-07
78,1.5453663593234523e-07
79,1.5453663593234523e-07
80,1.5453663593234523e-07
81,1.5453663593234523e-07
82,1.5453663593234523e-07
83,1.5453663593234523e-07
84,1.5453663593234523e-07
85,1.5453663593234523e-07
86,1.5453663593234523e-07
87,1.5453663593234523e-07
88,1.0349449652835574e-07
89,1.0349449652835574e-07
90,1.0349449652835574e-07
91,1.0349449652835574e-07
92,1.0349449652835574e-07
93,4.6324803548714044e-08
94,8.795655759286092e-09
95,8.795655759286092e-09
96,8.795655759286092e-09
97,6.833523968907684e-09
98,6.833523968907684e-09
99,6.833523968907684e-09
100,2.777490237804159e-09
101,1.1179110970260808e-09
102,1.1179110970260808e-09
103,1.5734258340671659e-10
104,1.5734258340671659e-10
105,5.654499091178877e-11
106,5.654499091178877e-11
107,5.654499091178877e-11
108,5.654499091178877e-11
109,5.654499091178877e-11
110,4.391864649733179e-11
111,4.391864649733179e-11
112,4.391864649733179e-11
113,4.391864649733179e-11
114,4.391864649733179e-11
115,3.601030584832188e-11
116,3.601030584832188e-11
117,3.601030584832188e-11
118,3.601030584832188e-11
119,3.4226843581564026e-11
120,3.4226843581564026e-11
121,3.413092031223641e-11
122,3.413092031223641e-11
123,3.413092031223641e-11
124,3.413092031223641e-11
125,3.413092031223641e-11
126,7.158718062783009e-12
127,3.929301328753354e-12
128,3.929301328753354e-12
129,2.2808421817899216e-12
130,2.2808421817899216e-12
131,2.2808421817899216e-12
132,2.2808421817899216e-12
133,2.2808421817899216e-12
134,2.2808421817899216e-12
135,2.2808421817899216e-12
136,2.2808421817899216e-12
137,1.1723955140041653e-13
138,1.1723955140041653e-13
139,1.1723955140041653e-13
140,1.1723955140041653e-13
141,1.1723955140041653e-13
142,1.1723955140041653e-13
143,1.1723955140041653e-13
144,3.907985046680551e-14
145,3.907985046680551e-14
146,3.907985046680551e-14
147,3.907985046680551e-14
148,3.907985046680551e-14
149,3.907985046680551e-14
150,3.907985046680551e-14
151,3.907985046680551e-14
152,3.552713678800501e-15
153,3.552713678800501e-15
154,3.552713678800501e-15
