objective,dim,evaluator,n_seeds,mean_total_time,std_total_time,mean_eval_time,mean_update_time,mean_overhead,pct_eval,pct_update,mean_best_value,speedup
sphere,2,sequential,5,0.0722,0.0184,0.0606,0.0052,0.0064,83.9,7.2,8.611026214474426e-15,1.0
sphere,2,threading,5,0.4516,0.0311,0.4259,0.011,0.0148,94.3,2.4,8.611026214474426e-15,0.16
sphere,2,multiprocessing,5,0.9452,0.0977,0.9062,0.0168,0.0222,95.9,1.8,8.611026214474426e-15,0.076
sphere,2,async,5,0.1531,0.0212,0.1393,0.0068,0.0071,90.9,4.4,8.611026214474426e-15,0.471
sphere,2,vectorized,5,0.0073,0.002,0.0012,0.0035,0.0026,16.2,48.3,8.611026214474426e-15,9.837
sphere,10,sequential,5,0.1202,0.0324,0.1008,0.0105,0.009,83.8,8.7,2.164526275387917e-13,1.0
sphere,10,threading,5,0.8066,0.0691,0.7568,0.0232,0.0265,93.8,2.9,2.164526275387917e-13,0.149
sphere,10,multiprocessing,5,1.6822,0.1373,1.6105,0.0315,0.0402,95.7,1.9,2.164526275387917e-13,0.071
sphere,10,async,5,0.2233,0.0511,0.2005,0.0124,0.0104,89.8,5.6,2.164526275387917e-13,0.538
sphere,10,vectorized,5,0.0152,0.0051,0.003,0.0069,0.0053,19.5,45.4,2.164526275387917e-13,7.891
sphere,30,sequential,5,0.2381,0.0835,0.1886,0.0269,0.0225,79.2,11.3,1.7135746140161184e-10,1.0
sphere,30,threading,5,1.5973,0.0662,1.4799,0.0546,0.0628,92.6,3.4,1.7135746140161184e-10,0.149
sphere,30,multiprocessing,5,3.181,0.1624,3.0401,0.0676,0.0733,95.6,2.1,1.7135746140161184e-10,0.075
sphere,30,async,5,0.5187,0.1105,0.4519,0.0366,0.0301,87.1,7.1,1.7135746140161184e-10,0.459
sphere,30,vectorized,5,0.0503,0.0093,0.0058,0.0249,0.0197,11.5,49.4,1.7135746140161184e-10,4.73
rosenbrock,2,sequential,5,0.1853,0.0418,0.1685,0.009,0.0078,90.9,4.8,1.2969324171330164e-12,1.0
rosenbrock,2,threading,5,0.7867,0.1216,0.7478,0.0157,0.0232,95.1,2.0,1.2969324171330164e-12,0.235
rosenbrock,2,multiprocessing,5,1.3836,0.069,1.3252,0.023,0.0354,95.8,1.7,1.2969324171330164e-12,0.134
rosenbrock,2,async,5,0.3443,0.0968,0.3184,0.0139,0.012,92.5,4.0,1.2969324171330164e-12,0.538
rosenbrock,2,vectorized,5,0.0138,0.0038,0.0029,0.0061,0.0048,21.1,44.3,1.2969324171330164e-12,13.447
rosenbrock,10,sequential,5,0.5588,0.208,0.5019,0.0322,0.0247,89.8,5.8,2.0430935208692897,1.0
rosenbrock,10,threading,5,2.2247,0.2774,2.107,0.0549,0.0628,94.7,2.5,2.0430935208692897,0.251
rosenbrock,10,multiprocessing,5,3.7507,0.4241,3.6144,0.0641,0.0722,96.4,1.7,2.0430935208692897,0.149
rosenbrock,10,async,5,0.8247,0.2874,0.7615,0.0332,0.0301,92.3,4.0,2.0430935208692897,0.678
rosenbrock,10,vectorized,5,0.0364,0.0108,0.0098,0.0151,0.0116,26.8,41.4,2.0430935208692897,15.348
rosenbrock,30,sequential,5,0.4282,0.1161,0.3712,0.031,0.026,86.7,7.2,33.903898696054284,1.0
rosenbrock,30,threading,5,2.1293,0.0746,1.9926,0.0636,0.073,93.6,3.0,33.903898696054284,0.201
rosenbrock,30,multiprocessing,5,3.5361,0.0693,3.3673,0.0816,0.0872,95.2,2.3,33.903898696054284,0.121
rosenbrock,30,async,5,0.8301,0.1701,0.7526,0.0405,0.037,90.7,4.9,33.903898696054284,0.516
rosenbrock,30,vectorized,5,0.0614,0.0122,0.0161,0.025,0.0203,26.2,40.7,33.903898696054284,6.976
rastrigin,2,sequential,5,0.1193,0.0207,0.1073,0.0067,0.0054,89.9,5.6,2.5579538487363607e-14,1.0
rastrigin,2,threading,5,0.5644,0.0365,0.5301,0.0133,0.021,93.9,2.4,2.5579538487363607e-14,0.211
rastrigin,2,multiprocessing,5,1.0705,0.0526,1.0279,0.0161,0.0265,96.0,1.5,2.5579538487363607e-14,0.111
rastrigin,2,async,5,0.2347,0.0222,0.217,0.0085,0.0092,92.4,3.6,2.5579538487363607e-14,0.508
rastrigin,2,vectorized,5,0.0096,0.0028,0.0024,0.0041,0.0031,25.1,42.5,2.5579538487363607e-14,12.439
rastrigin,10,sequential,5,0.5667,0.2171,0.5071,0.0314,0.0283,89.5,5.5,3.979836228373668,1.0
rastrigin,10,threading,5,2.4017,0.6745,2.2677,0.0602,0.0737,94.4,2.5,3.979836228373668,0.236
rastrigin,10,multiprocessing,5,4.6559,2.498,4.4947,0.0711,0.0901,96.5,1.5,3.979836228373668,0.122
rastrigin,10,async,5,0.9068,0.2187,0.8384,0.0345,0.0339,92.5,3.8,3.979836228373668,0.625
rastrigin,10,vectorized,5,0.0542,0.0124,0.0182,0.0213,0.0147,33.6,39.3,3.979836228373668,10.461
rastrigin,30,sequential,5,0.9307,0.2723,0.8182,0.0634,0.0491,87.9,6.8,79.99446434101279,1.0
rastrigin,30,threading,5,4.6722,0.7888,4.4,0.1232,0.1491,94.2,2.6,79.99446434101279,0.199
rastrigin,30,multiprocessing,5,6.4508,1.1108,6.1815,0.1239,0.1453,95.8,1.9,79.99446434101279,0.144
rastrigin,30,async,5,1.5519,0.567,1.4158,0.0735,0.0625,91.2,4.7,79.99446434101279,0.6
