evaluator,n_particles,max_iter,w,c1,c2,seed,best_value,total_time,eval_time,update_time,overhead,auc,convergence_iter
sequential,100,500,0.4,1.0,1.0,42,2.413179103819254e-30,0.220619,0.186764,0.011043,0.022812,23.916109,32
sequential,100,500,0.4,1.0,1.0,99,2.4942592066306652e-30,0.194124,0.171712,0.011412,0.011,105.635345,31
sequential,100,500,0.4,1.0,1.0,123,1.870556367564686e-29,0.183687,0.160629,0.012688,0.01037,16.155143,30
sequential,100,500,0.4,1.0,1.0,456,1.7607931355949502e-30,0.291558,0.267496,0.015418,0.008644,15.927537,32
sequential,100,500,0.4,1.0,1.0,789,2.371125408282578e-29,0.165816,0.14915,0.009043,0.007623,14.08937,31
sequential,100,500,0.4,1.0,1.49445,42,1.5217782536035713e-25,0.168796,0.150654,0.00686,0.011282,11.572601,27
sequential,100,500,0.4,1.0,1.49445,99,3.3912184130467025e-28,0.135993,0.122278,0.007328,0.006388,123.403859,34
sequential,100,500,0.4,1.0,1.49445,123,7.288318991382134e-28,0.117442,0.105251,0.006472,0.005718,23.185572,35
sequential,100,500,0.4,1.0,1.49445,456,4.062702924501792e-27,0.19946,0.146629,0.030013,0.022817,9.771218,32
sequential,100,500,0.4,1.0,1.49445,789,4.6169153629710385e-27,0.189938,0.16507,0.017151,0.007717,23.057988,34
sequential,100,500,0.4,1.0,2.0,42,1.6563191027036405e-25,0.172779,0.157934,0.007926,0.006919,26.738921,37
sequential,100,500,0.4,1.0,2.0,99,1.1802422773836524e-25,0.185581,0.170001,0.00879,0.006791,103.149405,35
sequential,100,500,0.4,1.0,2.0,123,4.054208911291853e-23,0.119464,0.106553,0.007014,0.005897,24.625352,28
sequential,100,500,0.4,1.0,2.0,456,3.0663838719120956e-25,0.198963,0.179718,0.011837,0.007408,13.509147,38
sequential,100,500,0.4,1.0,2.0,789,5.7423014407622756e-24,0.399498,0.356924,0.022364,0.020211,33.54866,28
sequential,100,500,0.4,1.49445,1.0,42,2.2071934585828423e-28,0.161912,0.146012,0.008521,0.007378,23.958627,35
sequential,100,500,0.4,1.49445,1.0,99,7.430647278233887e-29,0.115211,0.102281,0.006961,0.005969,105.405171,32
sequential,100,500,0.4,1.49445,1.0,123,1.4562737365977056e-27,0.115991,0.10344,0.006727,0.005824,17.96187,31
sequential,100,500,0.4,1.49445,1.0,456,8.967944533424324e-29,0.126241,0.112754,0.007206,0.006281,17.473271,34
sequential,100,500,0.4,1.49445,1.0,789,1.3003929982700308e-28,0.119367,0.106841,0.006587,0.00594,14.40256,31
sequential,100,500,0.4,1.49445,1.49445,42,3.482982959590763e-27,0.177651,0.158279,0.00893,0.010442,15.009478,37
sequential,100,500,0.4,1.49445,1.49445,99,6.244484046269816e-26,0.382844,0.341133,0.032479,0.009232,122.739598,38
sequential,100,500,0.4,1.49445,1.49445,123,3.7197696713345964e-26,0.184093,0.150635,0.019237,0.014221,20.238167,34
sequential,100,500,0.4,1.49445,1.49445,456,1.413052158025595e-26,0.239644,0.204222,0.022121,0.013301,11.837351,38
sequential,100,500,0.4,1.49445,1.49445,789,9.030883039364773e-28,0.226787,0.199714,0.017697,0.009376,22.128017,38
sequential,100,500,0.4,1.49445,2.0,42,6.777385540854901e-24,0.182327,0.132274,0.013698,0.036354,26.858471,40
sequential,100,500,0.4,1.49445,2.0,99,6.689182828891313e-24,0.179834,0.158562,0.010373,0.0109,102.902032,40
sequential,100,500,0.4,1.49445,2.0,123,8.805068686786002e-23,0.246988,0.218735,0.018362,0.009892,26.767467,37
sequential,100,500,0.4,1.49445,2.0,456,1.8020574288010719e-22,0.113362,0.100552,0.006781,0.006029,17.625686,36
sequential,100,500,0.4,1.49445,2.0,789,9.805050567226419e-24,0.114772,0.101552,0.007193,0.006027,35.806898,37
sequential,100,500,0.4,2.0,1.0,42,1.4452961641536388e-26,0.136825,0.112629,0.016004,0.008192,23.798925,33
